x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
3.377926421404682245e-01,1.676873934059857675e+03,2.016768739340598672e-03,5.169282807033864779e-01,6.605297264849690429e-06
3.394648829431438086e-01,1.659868819136448565e+03,2.016598688191364661e-03,5.170154650847060829e-01,6.605297264849690429e-06
3.411371237458193928e-01,1.642857968466404827e+03,2.016428579684664216e-03,5.171027009425258614e-01,6.605297264849690429e-06
3.428093645484949770e-01,1.625841377791204877e+03,2.016258413777912047e-03,5.171899883284741817e-01,6.605297264849690429e-06
3.444816053511705611e-01,1.608819042849273046e+03,2.016088190428492934e-03,5.172773272942429168e-01,6.605297264849690429e-06
3.461538461538461453e-01,1.591790959375975490e+03,2.015917909593760004e-03,5.173647178915878886e-01,6.605297264849690429e-06
3.478260869565217295e-01,1.574757123103618142e+03,2.015747571231036022e-03,5.174521601723287567e-01,6.605297264849690429e-06
3.494983277591973136e-01,1.557717529761446713e+03,2.015577175297614699e-03,5.175396541883482415e-01,6.605297264849690429e-06
3.511705685618728978e-01,1.540672175075640098e+03,2.015406721750756351e-03,5.176271999915944555e-01,6.605297264849690429e-06
3.528428093645484820e-01,1.523621054769311968e+03,2.015236210547693540e-03,5.177147976340776836e-01,6.605297264849690429e-06
3.545150501672240662e-01,1.506564164562506448e+03,2.015065641645624999e-03,5.178024471678744911e-01,6.605297264849690429e-06
3.561872909698996503e-01,1.489501500172196529e+03,2.014895015001721707e-03,5.178901486451238378e-01,6.605297264849690429e-06
3.578595317725752345e-01,1.472433057312281562e+03,2.014724330573122984e-03,5.179779021180294096e-01,6.605297264849690429e-06
3.595317725752508187e-01,1.455358831693585216e+03,2.014553588316936057e-03,5.180657076388602844e-01,6.605297264849690429e-06
3.612040133779264028e-01,1.438278819023851383e+03,2.014382788190238228e-03,5.181535652599494890e-01,6.605297264849690429e-06
3.628762541806019870e-01,1.421192944703911053e+03,2.014211929447039424e-03,5.182414753954664999e-01,6.605297264849690429e-06
3.645484949832775712e-01,1.404101222402518260e+03,2.014041012224025012e-03,5.183294380056712169e-01,6.605297264849690429e-06
3.662207357859531554e-01,1.387003698207725392e+03,2.013870036982077193e-03,5.184174528838667584e-01,6.605297264849690429e-06
3.678929765886287395e-01,1.369900367813025468e+03,2.013699003678130154e-03,5.185055200826632626e-01,6.605297264849690429e-06
3.695652173913043237e-01,1.352791226908819681e+03,2.013527912269088161e-03,5.185936396547354832e-01,6.605297264849690429e-06
3.712374581939799079e-01,1.335676271182414212e+03,2.013356762711824254e-03,5.186818116528234546e-01,6.605297264849690429e-06
3.729096989966554920e-01,1.318555496318019323e+03,2.013185554963180246e-03,5.187700361297323814e-01,6.605297264849690429e-06
3.745819397993310762e-01,1.301428897996747082e+03,2.013014288979967596e-03,5.188583131383326386e-01,6.605297264849690429e-06
3.762541806020066604e-01,1.284296471896607045e+03,2.012842964718966100e-03,5.189466427315603259e-01,6.605297264849690429e-06
3.779264214046822445e-01,1.267158213692506251e+03,2.012671582136925201e-03,5.190350249624167134e-01,6.605297264849690429e-06
3.795986622073578287e-01,1.250014119056246273e+03,2.012500141190562680e-03,5.191234598839691294e-01,6.605297264849690429e-06
3.812709030100334129e-01,1.232864183656519572e+03,2.012328641836565526e-03,5.192119475493499614e-01,6.605297264849690429e-06
